City,Ratings,Ideal_duration,best_time,desc,Cluster,State,Unnamed: 7
Rajkot,4.1,2-3 days,October-March,"[' Rajkot is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Gujarat,
Bhavnagar,4,1-2 days,October-March,"[' Bhavnagar is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Gujarat,
Jamnagar,4.2,2-3 days,October-March,"[' Jamnagar is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Gujarat,
Junagadh,4.4,2-3 days,October-March,"[' Junagadh is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,Gujarat,
Gandhinagar,4.3,1-2 days,October-March,"[' Gandhinagar is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Gujarat,
Gandhidham,3.9,1-2 days,October-March,"[' Gandhidham is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Gujarat,
Anand,4,1-2 days,October-March,"[' Anand is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Gujarat,
Navsari,3.8,1-2 days,October-March,"[' Navsari is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Gujarat,
Morbi,3.7,1-2 days,October-March,"[' Morbi is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Gujarat,
Nadiad,3.8,1-2 days,October-March,"[' Nadiad is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Gujarat,
Surendranagar,3.7,1-2 days,October-March,"[' Surendranagar is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Gujarat,
Bharuch,3.9,1-2 days,October-March,"[' Bharuch is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Gujarat,
Mehsana,3.8,1-2 days,October-March,"[' Mehsana is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Gujarat,
Bhuj,4.5,2-3 days,October-March,"[' Bhuj is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,Gujarat,
Porbandar,4.1,1-2 days,October-March,"[' Porbandar is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Gujarat,
Palanpur,3.8,1-2 days,October-March,"[' Palanpur is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Gujarat,
Valsad,3.9,1-2 days,October-March,"[' Valsad is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Gujarat,
Vapi,3.8,1-2 days,October-March,"[' Vapi is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Gujarat,
Faridabad,4,1-2 days,October-April,"[' Faridabad is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Haryana,
Gurugram,4.4,2-3 days,October-April,"[' Gurugram is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Haryana,
Panipat,4.1,1-2 days,October-April,"[' Panipat is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Haryana,
Ambala,4,1-2 days,October-April,"[' Ambala is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Haryana,
Yamunanagar,3.9,1-2 days,October-April,"[' Yamunanagar is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Haryana,
Rohtak,3.8,1-2 days,October-April,"[' Rohtak is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Haryana,
Hisar,3.9,1-2 days,October-April,"[' Hisar is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Haryana,
Karnal,4.1,1-2 days,October-April,"[' Karnal is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Haryana,
Sonipat,3.9,1-2 days,October-April,"[' Sonipat is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Haryana,
Panchkula,4.2,2-3 days,October-April,"[' Panchkula is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Haryana,
Bhiwani,3.8,1-2 days,October-April,"[' Bhiwani is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Haryana,
Sirsa,3.8,1-2 days,October-April,"[' Sirsa is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Haryana,
Bahadurgarh,3.7,1-2 days,October-April,"[' Bahadurgarh is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Haryana,
Jind,3.7,1-2 days,October-April,"[' Jind is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Haryana,
Thanesar,4,2-3 days,October-April,"[' Thanesar is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Haryana,
Kaithal,3.8,1-2 days,October-April,"[' Kaithal is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Haryana,
Rewari,3.9,1-2 days,October-April,"[' Rewari is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Haryana,
Palwal,3.8,1-2 days,October-April,"[' Palwal is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Haryana,
Solan,4.1,2-3 days,March-June,"[' Solan is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,Himachal Pradesh,
Mandi,4.2,2-3 days,March-June,"[' Mandi is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Himachal Pradesh,
Baddi,3.8,1-2 days,March-June,"[' Baddi is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Himachal Pradesh,
Sundarnagar,4,1-2 days,March-June,"[' Sundarnagar is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Himachal Pradesh,
Chamba,4.3,2-3 days,March-June,"[' Chamba is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Himachal Pradesh,
Una,3.9,1-2 days,March-June,"[' Una is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Himachal Pradesh,
Kullu,4.5,2-3 days,March-June,"[' Kullu is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Himachal Pradesh,
Hamirpur,3.8,1-2 days,March-June,"[' Hamirpur is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Himachal Pradesh,
Bilaspur Hp,4,1-2 days,March-June,"[' Bilaspur HP is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Himachal Pradesh,
Paonta Sahib,4.2,1-2 days,March-June,"[' Paonta Sahib is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Himachal Pradesh,
Kangra,4.3,2-3 days,March-June,"[' Kangra is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,Himachal Pradesh,
Ranchi,4.2,2-3 days,October-April,"[' Ranchi is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Jharkhand,
Jamshedpur,4.1,2-3 days,October-April,"[' Jamshedpur is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,Jharkhand,
Dhanbad,3.9,1-2 days,October-April,"[' Dhanbad is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Jharkhand,
Bokaro Steel City,4,2-3 days,October-April,"[' Bokaro Steel City is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Jharkhand,
Deoghar,4.3,2-3 days,October-April,"[' Deoghar is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,Jharkhand,
Phusro,3.7,1-2 days,October-April,"[' Phusro is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Jharkhand,
Hazaribagh,4.1,2-3 days,October-April,"[' Hazaribagh is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,Jharkhand,
Giridih,3.9,1-2 days,October-April,"[' Giridih is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Jharkhand,
Ramgarh,3.8,1-2 days,October-April,"[' Ramgarh is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Jharkhand,
Medininagar,3.8,1-2 days,October-April,"[' Medininagar is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Jharkhand,
Chirkunda,3.7,1-2 days,October-April,"[' Chirkunda is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Jharkhand,
Morbi,4.4,2-3 days,October-March,"[' Morbi is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,,Gujarat
Nadiad,4.6,1-2 days,October-March,"[' Nadiad is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Gujarat
Surendranagar,4.5,3-4 days,October-March,"[' Surendranagar is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",2,,Gujarat
Bharuch,4,1-2 days,October-March,"[' Bharuch is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Gujarat
Mehsana,3.9,1-2 days,October-March,"[' Mehsana is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,,Gujarat
Bhuj,3.7,3-4 days,October-March,"[' Bhuj is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",4,,Gujarat
Porbandar,3.7,3-4 days,October-March,"[' Porbandar is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",1,,Gujarat
Palanpur,4.1,3-4 days,October-March,"[' Palanpur is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",0,,Gujarat
Valsad,3.9,2-3 days,October-March,"[' Valsad is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,,Gujarat
Vapi,4.4,3-4 days,October-March,"[' Vapi is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",0,,Gujarat
Faridabad,4.8,3-4 days,October-April,"[' Faridabad is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",0,,Haryana
Gurugram,3.7,3-4 days,October-April,"[' Gurugram is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",4,,Haryana
Panipat,3.7,1-2 days,October-April,"[' Panipat is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,,Haryana
Ambala,4.2,3-4 days,October-April,"[' Ambala is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",1,,Haryana
Yamunanagar,3.5,2-3 days,October-April,"[' Yamunanagar is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,,Haryana
Rohtak,3.6,3-4 days,October-April,"[' Rohtak is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",2,,Haryana
Hisar,4.7,1-2 days,October-April,"[' Hisar is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Haryana
Karnal,3.6,1-2 days,October-April,"[' Karnal is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Haryana
Sonipat,4.8,3-4 days,October-April,"[' Sonipat is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",1,,Haryana
Panchkula,4.1,3-4 days,October-April,"[' Panchkula is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",4,,Haryana
Bhiwani,4.5,3-4 days,October-April,"[' Bhiwani is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",1,,Haryana
Sirsa,4,1-2 days,October-April,"[' Sirsa is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Haryana
Bahadurgarh,4.1,1-2 days,October-April,"[' Bahadurgarh is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Haryana
Jind,4.1,1-2 days,October-April,"[' Jind is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,,Haryana
Thanesar,3.7,3-4 days,October-April,"[' Thanesar is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",3,,Haryana
Kaithal,4.6,3-4 days,October-April,"[' Kaithal is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",1,,Haryana
Rewari,3.9,2-3 days,October-April,"[' Rewari is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,,Haryana
Palwal,4.5,2-3 days,October-April,"[' Palwal is a beautiful destination in Haryana, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,,Haryana
Solan,4.9,2-3 days,March-June,"[' Solan is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,,Himachal Pradesh
Mandi,4.7,3-4 days,March-June,"[' Mandi is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",0,,Himachal Pradesh
Baddi,4.6,3-4 days,March-June,"[' Baddi is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",1,,Himachal Pradesh
Sundarnagar,4.2,2-3 days,March-June,"[' Sundarnagar is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,,Himachal Pradesh
Chamba,4.6,2-3 days,March-June,"[' Chamba is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,,Himachal Pradesh
Una,4.5,1-2 days,March-June,"[' Una is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,,Himachal Pradesh
Kullu,3.8,1-2 days,March-June,"[' Kullu is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,,Himachal Pradesh
Hamirpur,4.6,3-4 days,March-June,"[' Hamirpur is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",1,,Himachal Pradesh
Bilaspur Hp,3.6,2-3 days,March-June,"[' Bilaspur HP is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,,Himachal Pradesh
Paonta Sahib,4.8,1-2 days,March-June,"[' Paonta Sahib is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,,Himachal Pradesh
Kangra,4.8,3-4 days,March-June,"[' Kangra is a beautiful destination in Himachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",2,,Himachal Pradesh
Ranchi,3.6,1-2 days,October-April,"[' Ranchi is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Jharkhand
Jamshedpur,4.1,2-3 days,October-April,"[' Jamshedpur is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,,Jharkhand
Dhanbad,4.2,1-2 days,October-April,"[' Dhanbad is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Jharkhand
Bokaro Steel City,4.3,1-2 days,October-April,"[' Bokaro Steel City is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Jharkhand
Deoghar,4.2,1-2 days,October-April,"[' Deoghar is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,,Jharkhand
Phusro,4.1,2-3 days,October-April,"[' Phusro is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,,Jharkhand
Hazaribagh,3.9,3-4 days,October-April,"[' Hazaribagh is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",2,,Jharkhand
Giridih,4.4,2-3 days,October-April,"[' Giridih is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,,Jharkhand
Ramgarh,4.4,3-4 days,October-April,"[' Ramgarh is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",3,,Jharkhand
Medininagar,3.9,2-3 days,October-April,"[' Medininagar is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,,Jharkhand
Chirkunda,4.2,2-3 days,October-April,"[' Chirkunda is a beautiful destination in Jharkhand, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,,Jharkhand
Hubli-Dharwad,4.2,1-2 days,October-March,"[' Hubli-Dharwad is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,,Karnataka
Mangalore,4.6,2-3 days,October-March,"[' Mangalore is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,,Karnataka
Belgaum,4.6,2-3 days,October-March,"[' Belgaum is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,,Karnataka
Davangere,3.7,3-4 days,October-March,"[' Davangere is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",4,,Karnataka
Bellary,4.1,3-4 days,October-March,"[' Bellary is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",0,,Karnataka
Tumkur,3.9,1-2 days,October-March,"[' Tumkur is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,,Karnataka
Shivamogga,4.4,1-2 days,October-March,"[' Shivamogga is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,,Karnataka
Raichur,4.8,3-4 days,October-March,"[' Raichur is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",4,,Karnataka
Bidar,4.9,2-3 days,October-March,"[' Bidar is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,,Karnataka
Hospet,3.6,3-4 days,October-March,"[' Hospet is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",3,,Karnataka
Gadag-Betigeri,4.8,2-3 days,October-March,"[' Gadag-Betigeri is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,,Karnataka
Robertson Pet,3.7,1-2 days,October-March,"[' Robertson Pet is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Karnataka
Hassan,3.7,1-2 days,October-March,"[' Hassan is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,,Karnataka
Bhadravati,4.5,3-4 days,October-March,"[' Bhadravati is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",1,,Karnataka
Chitradurga,4.3,2-3 days,October-March,"[' Chitradurga is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,,Karnataka
Udupi,3.8,1-2 days,October-March,"[' Udupi is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Karnataka
Kolar,4.6,1-2 days,October-March,"[' Kolar is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,,Karnataka
Mandya,3.8,2-3 days,October-March,"[' Mandya is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,,Karnataka
Chikmagalur,3.8,3-4 days,October-March,"[' Chikmagalur is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",3,,Karnataka
Gangavati,3.6,1-2 days,October-March,"[' Gangavati is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,,Karnataka
Bagalkot,4.9,3-4 days,October-March,"[' Bagalkot is a beautiful destination in Karnataka, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",2,,Karnataka
Thiruvananthapuram,3.7,2-3 days,October-March,"[' Thiruvananthapuram is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,,Kerala
Kozhikode,3.6,3-4 days,October-March,"[' Kozhikode is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",0,,Kerala
Kollam,3.9,3-4 days,October-March,"[' Kollam is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",1,,Kerala
Thrissur,4.6,1-2 days,October-March,"[' Thrissur is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Kerala
Kannur,4.5,1-2 days,October-March,"[' Kannur is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Kerala
Alappuzha,3.7,3-4 days,October-March,"[' Alappuzha is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",3,,Kerala
Kottayam,4.1,2-3 days,October-March,"[' Kottayam is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,,Kerala
Palakkad,4.1,2-3 days,October-March,"[' Palakkad is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,,Kerala
Manjeri,3.6,1-2 days,October-March,"[' Manjeri is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Kerala
Thalassery,3.9,2-3 days,October-March,"[' Thalassery is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,,Kerala
Thrippunithura,3.8,1-2 days,October-March,"[' Thrippunithura is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,,Kerala
Ponnani,3.6,2-3 days,October-March,"[' Ponnani is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,,Kerala
Vatakara,3.6,1-2 days,October-March,"[' Vatakara is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,,Kerala
Kanhangad,4.6,2-3 days,October-March,"[' Kanhangad is a beautiful destination in Kerala, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,,Kerala
