Name,Diet,State,Price
Bandar laddu,vegetarian,Andhra Pradesh,66
Payokh,vegetarian,Assam,61
Shufta,vegetarian,Jammu & Kashmir,28
Phirni,vegetarian,Odisha,30
Petha,vegetarian,Uttar Pradesh,59
Dum aloo,vegetarian,Jammu & Kashmir,136
Bhindi masala,vegetarian,Punjab,137
Kachori,vegetarian,Uttar Pradesh,47
Undhiyu,vegetarian,Gujarat,112
Pithe,vegetarian,Assam,50
Gheela Pitha,vegetarian,Assam,54
Mihidana,vegetarian,West Bengal,41
Maach Jhol,non vegetarian,Assam,128
Pantua,vegetarian,West Bengal,76
Sheera,vegetarian,Maharashtra,83
Idiappam,vegetarian,Tamil Nadu,24
Patra,vegetarian,Gujarat,16
Bora Sawul,vegetarian,Assam,134
Qubani ka meetha,vegetarian,Telangana,45
Sandige,vegetarian,Karnataka,138
Dum aloo,vegetarian,Jammu & Kashmir,145
Chingri Bhape,non vegetarian,West Bengal,125
Thalipeeth,vegetarian,Maharashtra,83
Kadai paneer,vegetarian,Punjab,88
Sutar feni,vegetarian,Maharashtra,66
Pesarattu,vegetarian,Andhra Pradesh,27
Thepla,vegetarian,Gujarat,48
Pongal,vegetarian,Tamil Nadu,51
Puri Bhaji,vegetarian,Maharashtra,144
Maach Jhol,non vegetarian,Assam,122
Samosa,vegetarian,Uttar Pradesh,33
Samosa,vegetarian,Uttar Pradesh,25
Pani puri,vegetarian,Uttar Pradesh,59
Haq Maas,non vegetarian,Assam,85
Chhena jalebi,vegetarian,Odisha,45
Kanji,vegetarian,Kerala,31
Chakali,vegetarian,Maharashtra,27
Vindaloo,non vegetarian,Goa,142
Sev khamani,vegetarian,Gujarat,97
Kansar,vegetarian,Gujarat,112
Bilahi Maas,non vegetarian,Assam,90
Uttapam,vegetarian,Unknown,53
Ariselu,vegetarian,Andhra Pradesh,55
Turiya Patra Vatana sabji,vegetarian,Gujarat,120
Dum aloo,vegetarian,Jammu & Kashmir,144
Kanji,vegetarian,Kerala,27
Cham cham,vegetarian,West Bengal,47
Papad,vegetarian,Unknown,18
Sev tameta,vegetarian,Gujarat,105
Lauki ki subji,vegetarian,Unknown,109
Uttapam,vegetarian,Unknown,54
Makki di roti sarson da saag,vegetarian,Punjab,143
Pattor,vegetarian,Rajasthan,137
Kajjikaya,vegetarian,Andhra Pradesh,60
Adhirasam,vegetarian,West Bengal,67
Unni Appam,vegetarian,Tamil Nadu,66
Dum aloo,vegetarian,Jammu & Kashmir,140
Surnoli,vegetarian,Maharashtra,27
Aloo methi,vegetarian,Punjab,139
Bandar laddu,vegetarian,Andhra Pradesh,59
Biryani,non vegetarian,Telangana,146
Gud papdi,vegetarian,Gujarat,78
Undhiyu,vegetarian,Gujarat,115
Aloo gobi,vegetarian,Punjab,134
Thalipeeth,vegetarian,Maharashtra,86
Sandige,vegetarian,Karnataka,139
Kulfi falooda,vegetarian,Unknown,55
Mushroom do pyaza,vegetarian,Punjab,143
Sandesh,vegetarian,West Bengal,59
Handwo,vegetarian,Gujarat,29
Mawa Bati,vegetarian,Madhya Pradesh,58
Lilva Kachori,vegetarian,Gujarat,22
Panjeeri,vegetarian,Uttar Pradesh,46
Mysore pak,vegetarian,Karnataka,66
Kos kootu,vegetarian,Tamil Nadu,131
Chakali,vegetarian,Maharashtra,21
Mushroom matar,vegetarian,Punjab,119
Payokh,vegetarian,Assam,56
Pantua,vegetarian,West Bengal,73
Palak paneer,vegetarian,Punjab,138
Kansar,vegetarian,Gujarat,109
Avial,vegetarian,Kerala,116
Double ka meetha,vegetarian,Telangana,39
Doodhpak,vegetarian,Gujarat,79
Mushroom matar,vegetarian,Punjab,113
Obbattu holige,vegetarian,Karnataka,112
Gatta curry,vegetarian,Rajasthan,100
Chicken Tikka,non vegetarian,Punjab,51
Chicken Tikka masala,non vegetarian,Punjab,139
Bora Sawul,vegetarian,Assam,131
Litti chokha,vegetarian,Bihar,108
Avial,vegetarian,Kerala,114
Kadhi pakoda,vegetarian,Haryana,122
Chikki,vegetarian,Maharashtra,41
Kutchi dabeli,vegetarian,Gujarat,56
Vegetable jalfrezi,vegetarian,Punjab,92
Theeyal,vegetarian,Kerala,101
Thayir sadam,vegetarian,Tamil Nadu,100
Chana masala,vegetarian,Punjab,123
Saath,vegetarian,Gujarat,117
Gulab jamun,vegetarian,West Bengal,30
Jeera Aloo,vegetarian,Gujarat,90
Amti,vegetarian,Maharashtra,96
Kachori,vegetarian,Uttar Pradesh,51
Mihidana,vegetarian,West Bengal,47
Prawn malai curry,non vegetarian,West Bengal,96
Jeera Aloo,vegetarian,Gujarat,82
Vindaloo,non vegetarian,Goa,143
Muthiya,vegetarian,Gujarat,52
Khichu,vegetarian,Gujarat,29
Keerai poriyal,vegetarian,Tamil Nadu,145
Laddu,vegetarian,Unknown,41
Poha,vegetarian,Maharashtra,62
Dahi vada,vegetarian,Maharashtra,41
Til Pitha,vegetarian,Assam,48
Khichdi,vegetarian,Unknown,126
Surnoli,vegetarian,Maharashtra,28
Gavvalu,vegetarian,Andhra Pradesh,53
Misti doi,vegetarian,West Bengal,39
Kolim Jawla,non vegetarian,Maharashtra,104
Naan,vegetarian,Punjab,125
Sambar,vegetarian,Unknown,82
Bhatura,vegetarian,Punjab,120
Vegetable jalfrezi,vegetarian,Punjab,95
Upma,vegetarian,Unknown,35
Naan,vegetarian,Punjab,128
Lauki ki subji,vegetarian,Unknown,104
Kansar,vegetarian,Gujarat,110
Pork Bharta,non vegetarian,Tripura,88
Mawa Bati,vegetarian,Madhya Pradesh,54
Phirni,vegetarian,Odisha,37
Shankarpali,vegetarian,Maharashtra,60
Paniyaram,vegetarian,Tamil Nadu,140
Kalakand,vegetarian,West Bengal,36
Tandoori Fish Tikka,non vegetarian,Punjab,95
Chapati,vegetarian,Maharashtra,102
Rasabali,vegetarian,Odisha,36
Thalipeeth,vegetarian,Maharashtra,84
Shufta,vegetarian,Jammu & Kashmir,30
Kajjikaya,vegetarian,Andhra Pradesh,57
Mawa Bati,vegetarian,Madhya Pradesh,58
Masor tenga,non vegetarian,Assam,81
Pesarattu,vegetarian,Andhra Pradesh,29
Sevai,vegetarian,Unknown,126
Cheera Doi,vegetarian,West Bengal,37
Avial,vegetarian,Kerala,119
Kheer sagar,vegetarian,Odisha,60
Paravannam,vegetarian,Kerala,83
Baingan Fry,vegetarian,Punjab,76
Bilahi Maas,non vegetarian,Assam,96
Sambar,vegetarian,Unknown,85
Kalakand,vegetarian,West Bengal,35
Keerai poriyal,vegetarian,Tamil Nadu,139
Brown Rice,vegetarian,Unknown,142
Basundi,vegetarian,Gujarat,43
Kheer sagar,vegetarian,Odisha,63
Dharwad pedha,vegetarian,Karnataka,67
Handwo,vegetarian,Gujarat,32
Kheer,vegetarian,Unknown,25
Sambar,vegetarian,Unknown,84
Idiappam,vegetarian,Tamil Nadu,30
Litti chokha,vegetarian,Bihar,107
Pav Bhaji,vegetarian,Maharashtra,120
Bengena Pitika,vegetarian,Assam,130
Paniyaram,vegetarian,Tamil Nadu,138
Kanji,vegetarian,Kerala,31
Lilva Kachori,vegetarian,Gujarat,30
Payokh,vegetarian,Assam,62
Singori,vegetarian,Uttarakhand,36
Makki di roti sarson da saag,vegetarian,Punjab,140
Gheela Pitha,vegetarian,Assam,53
Anarsa,vegetarian,Maharashtra,35
Pootharekulu,vegetarian,Andhra Pradesh,61
Boondi,vegetarian,Rajasthan,73
Qubani ka meetha,vegetarian,Telangana,50
Sev tameta,vegetarian,Gujarat,113
Kulfi falooda,vegetarian,Unknown,54
Coconut vadi,vegetarian,Maharashtra,31
Hando Guri,vegetarian,Assam,37
Uttapam,vegetarian,Unknown,51
Khar,vegetarian,Assam,116
Maach Jhol,non vegetarian,Assam,122
Kofta,vegetarian,Uttar Pradesh,83
Dum aloo,vegetarian,Jammu & Kashmir,140
Kalakand,vegetarian,West Bengal,40
Lilva Kachori,vegetarian,Gujarat,29
Bisi bele bath,vegetarian,Karnataka,139
Papad,vegetarian,Unknown,24
Kootu,vegetarian,Tamil Nadu,120
Red Rice,vegetarian,Unknown,135
Sheer korma,vegetarian,Telangana,80
Copra paak,vegetarian,Gujarat,82
Masor tenga,non vegetarian,Assam,78
Maach Jhol,non vegetarian,Assam,126
Daal puri,vegetarian,West Bengal,146
Chhena jalebi,vegetarian,Odisha,48
Khaman,vegetarian,Gujarat,41
Papadum,vegetarian,Kerala,17
Chicken razala,non vegetarian,West Bengal,133
Pattor,vegetarian,Rajasthan,128
Navrattan korma,vegetarian,Uttar Pradesh,143
Luchi,vegetarian,West Bengal,103
Sev tameta,vegetarian,Gujarat,115
Konir Dom,non vegetarian,Assam,89
Kuzhi paniyaram,vegetarian,Kerala,63
Mysore pak,vegetarian,Karnataka,76
Saath,vegetarian,Gujarat,124
Sattu ki roti,vegetarian,Bihar,126
Sohan papdi,vegetarian,Maharashtra,66
Gavvalu,vegetarian,Andhra Pradesh,57
Mahim halwa,vegetarian,Maharashtra,62
Tandoori Chicken,non vegetarian,Punjab,99
Gheela Pitha,vegetarian,Assam,52
Anarsa,vegetarian,Maharashtra,31
Gatta curry,vegetarian,Rajasthan,102
Pattor,vegetarian,Rajasthan,134
Sukhdi,vegetarian,Maharashtra,56
Mag Dhokli,vegetarian,Gujarat,34
Vegetable jalfrezi,vegetarian,Punjab,102
Shrikhand,vegetarian,Maharashtra,31
Alu Pitika,non vegetarian,Assam,86
Paneer tikka masala,vegetarian,Punjab,77
Litti chokha,vegetarian,Bihar,106
Obbattu holige,vegetarian,Karnataka,106
Pakhala,vegetarian,Odisha,142
Lauki ke kofte,vegetarian,Uttar Pradesh,133
Panjeeri,vegetarian,Uttar Pradesh,44
Bombil fry,non vegetarian,Maharashtra,144
Konir Dom,non vegetarian,Assam,89
Pindi chana,vegetarian,Punjab,133
Aloo shimla mirch,vegetarian,Punjab,100
Bora Sawul,vegetarian,Assam,134
Namakpara,vegetarian,Gujarat,45
Nankhatai,vegetarian,Unknown,39
Hando Guri,vegetarian,Assam,37
Lassi,vegetarian,Punjab,56
Tandoori Fish Tikka,non vegetarian,Punjab,98
Khaman,vegetarian,Gujarat,38
Doodhpak,vegetarian,Gujarat,82
Idiappam,vegetarian,Tamil Nadu,29
Thepla,vegetarian,Gujarat,49
Mag Dhokli,vegetarian,Gujarat,34
Zunka,vegetarian,Maharashtra,135
Farsi Puri,vegetarian,Gujarat,37
Sambar,vegetarian,Unknown,76
Chicken Varuval,non vegetarian,Tamil Nadu,118
Kuzhambu,vegetarian,Tamil Nadu,119
Chapati,vegetarian,Maharashtra,93
Fara,vegetarian,Chhattisgarh,55
Veg Kolhapuri,vegetarian,Maharashtra,104
Mohanthal,vegetarian,Gujarat,33
Bengena Pitika,vegetarian,Assam,124
Payokh,vegetarian,Assam,61
Khakhra,vegetarian,Gujarat,56
Paratha,vegetarian,Punjab,131
Navrattan korma,vegetarian,Uttar Pradesh,133
Kaara kozhambu,vegetarian,Tamil Nadu,116
Prawn malai curry,non vegetarian,West Bengal,96
Jeera Aloo,vegetarian,Gujarat,88
Bengena Pitika,vegetarian,Assam,125
Chhena jalebi,vegetarian,Odisha,47
Koshimbir,vegetarian,Maharashtra,135
Pithe,vegetarian,Assam,43
Paneer butter masala,vegetarian,Punjab,114
Litti chokha,vegetarian,Bihar,102
Thayir sadam,vegetarian,Tamil Nadu,100
Sandige,vegetarian,Karnataka,137
Koshimbir,vegetarian,Maharashtra,127
Dahi vada,vegetarian,Maharashtra,38
Malapua,vegetarian,Bihar,42
Sandige,vegetarian,Karnataka,131
Poriyal,vegetarian,Tamil Nadu,152
Dalithoy,vegetarian,Maharashtra,142
Kothamali sadam,vegetarian,Tamil Nadu,80
Keerai poriyal,vegetarian,Tamil Nadu,143
Navrattan korma,vegetarian,Uttar Pradesh,139
Adhirasam,vegetarian,West Bengal,73
Kuzhakkattai,vegetarian,Tamil Nadu,96
Puttu,vegetarian,Kerala,82
Kabiraji,non vegetarian,West Bengal,117
Pesarattu,vegetarian,Andhra Pradesh,24
Upma,vegetarian,Unknown,36
Petha,vegetarian,Uttar Pradesh,58
Veg Kolhapuri,vegetarian,Maharashtra,99
Kheer sagar,vegetarian,Odisha,66
Methi na Gota,vegetarian,Gujarat,137
Daal Dhokli,vegetarian,Gujarat,130
Mushroom matar,vegetarian,Punjab,118
Nankhatai,vegetarian,Unknown,46
Kofta,vegetarian,Uttar Pradesh,85
Laapsi,vegetarian,Madhya Pradesh,113
Dahi vada,vegetarian,Maharashtra,35
Chicken Tikka masala,non vegetarian,Punjab,138
Paneer butter masala,vegetarian,Punjab,118
Mushroom do pyaza,vegetarian,Punjab,140
Paneer butter masala,vegetarian,Punjab,119
Dalithoy,vegetarian,Maharashtra,137
Chingri Bhape,non vegetarian,West Bengal,127
Masala Dosa,vegetarian,Unknown,51
Gud papdi,vegetarian,Gujarat,75
Koldil Chicken,non vegetarian,Assam,79
Red Rice,vegetarian,Unknown,132
Puli sadam,vegetarian,Tamil Nadu,137
Veg Kolhapuri,vegetarian,Maharashtra,101
Sheera,vegetarian,Maharashtra,75
Naan,vegetarian,Punjab,121
Shankarpali,vegetarian,Maharashtra,51
Makki di roti sarson da saag,vegetarian,Punjab,137
Bhakri,vegetarian,Maharashtra,133
Patra,vegetarian,Gujarat,20
Mahim halwa,vegetarian,Maharashtra,57
Chingri Bhape,non vegetarian,West Bengal,131
Singori,vegetarian,Uttarakhand,45
Chole bhature,vegetarian,Punjab,111
Bajri no rotlo,vegetarian,Gujarat,140
Lyangcha,vegetarian,Assam,74
Mohanthal,vegetarian,Gujarat,39
Adhirasam,vegetarian,West Bengal,66
Kofta,vegetarian,Uttar Pradesh,79
Currivepillai sadam ,vegetarian,Tamil Nadu,132
Koldil Chicken,non vegetarian,Assam,84
Aloo matar,vegetarian,Punjab,97
Maach Jhol,non vegetarian,Assam,119
Saath,vegetarian,Gujarat,118
Patra,vegetarian,Gujarat,18
Puli sadam,vegetarian,Tamil Nadu,136
Avial,vegetarian,Kerala,121
Gatta curry,vegetarian,Rajasthan,103
Sevai,vegetarian,Unknown,123
Bandar laddu,vegetarian,Andhra Pradesh,57
Poriyal,vegetarian,Tamil Nadu,153
Karela bharta,vegetarian,Punjab,114
Puri Bhaji,vegetarian,Maharashtra,154
Mawa Bati,vegetarian,Madhya Pradesh,57
Misi roti,vegetarian,Punjab,144
Kofta,vegetarian,Uttar Pradesh,76
Amti,vegetarian,Maharashtra,98
Konir Dom,non vegetarian,Assam,89
Kabiraji,non vegetarian,West Bengal,117
Naan,vegetarian,Punjab,125
Jeera Aloo,vegetarian,Gujarat,83
Lassi,vegetarian,Punjab,64
Pattor,vegetarian,Rajasthan,133
Dal tadka,vegetarian,Punjab,116
Panjeeri,vegetarian,Uttar Pradesh,46
Boondi,vegetarian,Rajasthan,73
Sandige,vegetarian,Karnataka,141
Kansar,vegetarian,Gujarat,111
Chhena poda,vegetarian,Odisha,42
Sheer korma,vegetarian,Telangana,81
Phirni,vegetarian,Odisha,29
Mishti Chholar Dal,vegetarian,West Bengal,83
Turiya Patra Vatana sabji,vegetarian,Gujarat,114
Petha,vegetarian,Uttar Pradesh,66
Mag Dhokli,vegetarian,Gujarat,39
Pork Bharta,non vegetarian,Tripura,86
